Date,Timestamp,result
18.11.2019,18:57,251
18.11.2019,12:29,251
18.11.2019,18:06,229
18.11.2019,12:08,250
18.11.2019,14:35,248
18.11.2019,20:05,207
18.11.2019,19:53,223
18.11.2019,16:58,241
18.11.2019,21:22,213
18.11.2019,15:12,236
19.11.2019,15:26,230
19.11.2019,15:48,278
19.11.2019,20:12,233
19.11.2019,12:51,214
19.11.2019,16:26,259
19.11.2019,15:24,232
19.11.2019,21:56,223
19.11.2019,19:57,242
19.11.2019,16:10,227
19.11.2019,17:03,246
20.11.2019,18:57,248
20.11.2019,12:29,225
20.11.2019,18:06,248
20.11.2019,12:08,229
20.11.2019,14:35,264
20.11.2019,20:05,253
20.11.2019,19:53,245
20.11.2019,16:58,250
20.11.2019,21:22,229
20.11.2019,15:12,233
21.11.2019,15:26,233
21.11.2019,15:48,205
21.11.2019,20:12,232
21.11.2019,12:51,237
21.11.2019,16:26,239
21.11.2019,15:24,238
21.11.2019,21:56,224
21.11.2019,19:57,219
21.11.2019,16:10,199
21.11.2019,17:03,236
22.11.2019,18:57,224
22.11.2019,12:29,231
22.11.2019,18:06,229
22.11.2019,12:08,229
22.11.2019,14:35,260
22.11.2019,20:05,247
22.11.2019,19:53,252
22.11.2019,16:58,237
22.11.2019,21:22,251
22.11.2019,15:12,239
