Date,Time,score
18.11.2019,10:46,49
18.11.2019,10:17,46
18.11.2019,17:45,39
18.11.2019,21:43,45
18.11.2019,09:40,40
18.11.2019,17:21,49
18.11.2019,14:15,50
18.11.2019,14:51,48
18.11.2019,11:28,40
18.11.2019,11:21,38
19.11.2019,13:52,45
19.11.2019,18:27,44
19.11.2019,16:25,46
19.11.2019,09:04,40
19.11.2019,15:00,42
19.11.2019,14:49,50
19.11.2019,10:25,43
19.11.2019,21:07,49
19.11.2019,13:52,46
19.11.2019,21:25,43
20.11.2019,21:21,45
20.11.2019,11:29,45
20.11.2019,10:48,45
20.11.2019,17:35,44
20.11.2019,16:08,43
20.11.2019,09:38,45
20.11.2019,10:17,42
20.11.2019,18:50,41
20.11.2019,09:23,39
20.11.2019,18:59,44
22.11.2019,21:50,42
22.11.2019,20:41,42
22.11.2019,14:37,39
22.11.2019,14:11,49
22.11.2019,14:00,42
22.11.2019,14:04,46
22.11.2019,21:05,45
22.11.2019,18:41,42
22.11.2019,09:03,47
22.11.2019,21:36,45
23.11.2019,10:27,40
23.11.2019,21:57,42
23.11.2019,21:42,44
23.11.2019,21:39,47
23.11.2019,16:57,41
23.11.2019,11:17,41
23.11.2019,10:52,48
23.11.2019,14:48,44
23.11.2019,09:03,47
23.11.2019,12:33,46
24.11.2019,19:00,47
24.11.2019,13:06,50
24.11.2019,19:57,43
24.11.2019,20:28,45
24.11.2019,20:18,46
24.11.2019,16:41,47
24.11.2019,09:17,48
24.11.2019,16:29,41
24.11.2019,19:39,44
24.11.2019,19:03,47
