Date,Time,result
18.11.2019,10:46,32
18.11.2019,10:17,36
18.11.2019,17:45,30
18.11.2019,21:43,41
18.11.2019,9:40,32
18.11.2019,17:21,43
18.11.2019,14:15,40
18.11.2019,14:51,45
18.11.2019,11:28,39
18.11.2019,11:21,50
19.11.2019,13:52,34
19.11.2019,18:27,47
19.11.2019,16:25,31
19.11.2019,9:04,27
19.11.2019,15:00,55
19.11.2019,14:49,40
19.11.2019,10:25,49
19.11.2019,21:07,44
19.11.2019,13:52,26
19.11.2019,21:25,48
20.11.2019,21:21,50
20.11.2019,11:29,59
20.11.2019,10:48,44
20.11.2019,17:35,36
20.11.2019,16:08,36
20.11.2019,9:38,43
20.11.2019,10:17,38
20.11.2019,18:50,39
20.11.2019,9:23,46
20.11.2019,18:59,29
21.11.2019,21:50,45
21.11.2019,20:41,47
21.11.2019,14:37,39
21.11.2019,14:11,41
21.11.2019,14:00,56
21.11.2019,14:04,39
21.11.2019,21:05,30
21.11.2019,18:41,34
21.11.2019,9:03,53
21.11.2019,21:36,46
22.11.2019,10:27,35
22.11.2019,21:57,42
22.11.2019,21:42,52
22.11.2019,21:39,45
22.11.2019,16:57,50
22.11.2019,11:17,45
22.11.2019,10:52,37
22.11.2019,14:48,23
22.11.2019,9:03,35
22.11.2019,12:33,23
,19:00,
,13:06,
,19:57,
,20:28,
,20:18,
,16:41,
,9:17,
,16:29,
,19:39,
,19:03,
