Date,Timestamp,result
18.11.2019,10:46,30
18.11.2019,10:17,60
18.11.2019,17:45,37
18.11.2019,21:43,32
18.11.2019,9:40,39
18.11.2019,17:21,35
18.11.2019,14:15,29
18.11.2019,14:51,38
18.11.2019,11:28,48
18.11.2019,11:21,37
19.11.2019,13:52,48
19.11.2019,18:27,49
19.11.2019,16:25,51
19.11.2019,9:04,38
19.11.2019,15:00,49
19.11.2019,14:49,40
19.11.2019,10:25,38
19.11.2019,21:07,49
19.11.2019,13:52,50
19.11.2019,21:25,38
20.11.2019,21:21,46
20.11.2019,11:29,36
20.11.2019,10:48,41
20.11.2019,17:35,43
20.11.2019,16:08,43
20.11.2019,9:38,37
20.11.2019,10:17,36
20.11.2019,18:50,41
20.11.2019,9:23,39
20.11.2019,18:59,49
21.11.2019,21:50,50
21.11.2019,20:41,51
21.11.2019,14:37,44
21.11.2019,14:11,43
21.11.2019,14:00,36
21.11.2019,14:04,40
21.11.2019,21:05,43
21.11.2019,18:41,33
21.11.2019,9:03,52
21.11.2019,21:36,39
22.11.2019,10:27,34
22.11.2019,21:57,42
22.11.2019,21:42,35
22.11.2019,21:39,60
22.11.2019,16:57,45
22.11.2019,11:17,24
22.11.2019,10:52,36
22.11.2019,14:48,41
22.11.2019,9:03,40
22.11.2019,12:33,36
