Date,Timestamp,result
18.11.2019,21:44,10
18.11.2019,20:10,12
18.11.2019,17:53,9
18.11.2019,18:56,11
18.11.2019,12:40,12
18.11.2019,11:14,10
18.11.2019,18:18,12
18.11.2019,09:52,12
18.11.2019,09:25,10
18.11.2019,14:24,13
19.11.2019,13:29,10
19.11.2019,10:26,13
19.11.2019,21:50,8
19.11.2019,13:03,10
19.11.2019,09:55,11
19.11.2019,11:45,13
19.11.2019,18:34,9
19.11.2019,10:51,8
19.11.2019,21:21,11
19.11.2019,12:17,11
20.11.2019,21:44,9
20.11.2019,20:10,9
20.11.2019,17:53,12
20.11.2019,18:56,9
20.11.2019,12:40,8
20.11.2019,11:14,12
20.11.2019,18:18,8
20.11.2019,09:52,11
20.11.2019,09:25,13
20.11.2019,13:22,13
22.11.2019,11:03,10
22.11.2019,12:20,11
22.11.2019,20:36,13
22.11.2019,14:08,8
22.11.2019,14:48,9
22.11.2019,20:01,10
22.11.2019,11:36,8
22.11.2019,17:15,10
22.11.2019,20:21,13
22.11.2019,13:08,9
23.11.2019,11:44,8
23.11.2019,19:17,10
23.11.2019,11:22,9
23.11.2019,13:22,10
23.11.2019,11:03,10
23.11.2019,12:20,12
23.11.2019,20:36,13
23.11.2019,14:08,10
23.11.2019,14:48,8
23.11.2019,20:01,10
24.11.2019,11:36,10
24.11.2019,17:15,12
24.11.2019,20:21,8
24.11.2019,13:22,10
24.11.2019,11:03,11
24.11.2019,12:20,11
24.11.2019,20:36,10
24.11.2019,14:08,9
24.11.2019,14:48,11
24.11.2019,20:01,10
